ID,Struct,AC_Thick,BC_Thick,SB_Thick,AC_Mod,BC_Mod,SB_Mod,SG_Mod,D0,D20,D30,D45,D60,D90,D120,D150,D180
1,柔性-薄沥青层,0.10,0.25,0.25,2000,600,200,40,0.6353,0.5188,0.4613,0.4018,0.3559,0.2821,0.2242,0.1785,0.1423
2,柔性-薄沥青层,0.10,0.25,0.25,3500,900,325,80,0.3598,0.2879,0.2518,0.2151,0.1877,0.1455,0.1138,0.0894,0.0706
3,柔性-薄沥青层,0.10,0.25,0.25,5000,1200,450,120,0.2524,0.2004,0.1740,0.1473,0.1277,0.0981,0.0762,0.0596,0.0469
4,柔性-标准结构,0.15,0.20,0.30,2500,700,250,50,0.4633,0.3892,0.3515,0.3079,0.2731,0.2178,0.1746,0.1403,0.1128
5,柔性-标准结构,0.15,0.20,0.30,4000,1050,375,100,0.2676,0.2206,0.1965,0.1689,0.1474,0.1144,0.0897,0.0708,0.0562
6,柔性-标准结构,0.15,0.20,0.30,5500,1400,500,150,0.1894,0.1549,0.1372,0.1170,0.1013,0.0777,0.0604,0.0473,0.0373
7,柔性-厚沥青层,0.20,0.25,0.30,2000,250,100,40,0.6093,0.5202,0.4729,0.4121,0.3609,0.2805,0.2205,0.1748,0.1394
8,柔性-厚沥青层,0.20,0.25,0.30,3250,425,200,70,0.3498,0.2961,0.2681,0.2328,0.2035,0.1582,0.1248,0.0992,0.0794
9,柔性-厚沥青层,0.20,0.25,0.30,4500,600,300,100,0.2456,0.2071,0.1872,0.1623,0.1418,0.1103,0.0870,0.0693,0.0555
10,柔性-全厚式,0.25,0.35,0.20,1800,200,80,35,0.5923,0.5096,0.4701,0.4193,0.3746,0.3006,0.2424,0.1962,0.1591
11,柔性-全厚式,0.25,0.35,0.20,2900,350,165,62,0.3402,0.2898,0.2662,0.2365,0.2107,0.1686,0.1360,0.1101,0.0894
12,柔性-全厚式,0.25,0.35,0.20,4000,500,250,90,0.2377,0.2014,0.1846,0.1636,0.1455,0.1163,0.0937,0.0758,0.0615
13,柔性-薄面层,0.08,0.30,0.30,2500,200,80,30,1.0799,0.8572,0.7255,0.5930,0.5043,0.3817,0.2958,0.2322,0.1840
14,柔性-薄面层,0.08,0.30,0.30,4250,350,165,55,0.5939,0.4666,0.3923,0.3193,0.2714,0.2061,0.1603,0.1263,0.1003
15,柔性-薄面层,0.08,0.30,0.30,6000,500,250,80,0.4100,0.3208,0.2691,0.2186,0.1858,0.1412,0.1100,0.0867,0.0689
